EVENT_LOG,DISCOVERY_ALG,ALIGNMENTS_MARKOV,ABS_EDGES_ONLY_IN_LOG,ABS_EDGES_ONLY_IN_LOG_W,ABS_EDGES_ONLY_IN_LOG_BTW,ABS_EDGES_ONLY_IN_LOG_BTW_NORM,ABS_EDGES_ONLY_IN_LOG_CC,ABS_EDGES_ONLY_IN_MODEL,ABS_EDGES_ONLY_IN_MODEL_W,ABS_MAX_DEGREE,ABS_MAX_DEGREE_DIV,ABS_MAX_CLUSTER,ABS_MAX_CLUSTER_DIV,ABS_DEGREE_ENTROPY,ABS_DEGREE_ENTROPY_DIV,ABS_LINK_DENSITY_DIV,ABS_LOG_MAX_DEGREE,ABS_LOG_DEGREE_ENTROPY,ABS_LOG_LINK_DENSITY,ABS_MODEL_MAX_DEGREE,ABS_MODEL_DEGREE_ENTROPY,ABS_MODEL_LINK_DENSITY
Sepsis Cases - Event Log.xes.gz,IMd,0.9999,0.9999,0.9999,50,0.1838,0.0097,0.4926,-3.4868,0,1,0.0479,1.0503,-49.8485,-49.8485,2.0149,17,-8.7549,0.4963,17,-58.6034,1
Sepsis Cases - Event Log.xes.gz,ETM,0.8294,0.9943,0.8432,0.5,0.0018,0.0125,0.9348,0.7351,-8,0.5294,-0.0771,0.919,-2.8547,-2.8547,0.7022,17,-8.7549,0.4963,9,-11.6096,0.3485
4_a_VARA_CIVEL_DE_ARACAJU_-_TJSE.xes,IMd,0.9983,0.9988,0.9977,13.3333,0.0029,0.0017,0.1955,-21.2941,-12,0.8,0,1,-94.5681,-94.5681,9.0187,60,-118.7349,0.1124,48,-213.303,1.0137
BPI_Challenge_2013_open_problems.xes.gz,IMf,0.9783,0.9994,0.9811,1,0.0833,0.1706,1,1,0,1,0,1,2,2,0.8333,4,-2,1,4,0,0.8333
BPI_Challenge_2013_open_problems.xes.gz,IMd,1,1,1,0,0,0,0.8,0.635,0,1,0,1,-2.7549,-2.7549,1.25,4,-2,1,4,-4.7549,1.25
BPI_Challenge_2013_open_problems.xes.gz,ETM,0,0.9962,0,0,0,0.1706,0,-0.2918,2,1.5,0,1,-4.7549,-4.7549,1.1333,4,-2,1,6,-6.7549,1.1333
BPI_Challenge_2013_incidents.xes.gz,IMf,0.7644,0.9999,0.7855,0,0,0.0294,0.9167,0.8421,-2,0.6,0,1,-2,-2,1.25,5,-2,0.8,3,-4,1
BPI_Challenge_2013_incidents.xes.gz,IMd,1,1,1,0,0,0,0.6667,0.0316,0,1,0,1,-6,-6,1.5,5,-2,0.8,5,-8,1.2
BPI_Challenge_2013_incidents.xes.gz,ETM,0,0.9998,0,0,0,0.0387,0,0.6899,1,1.2,-0.5556,0.4444,-10,-10,0.3889,5,-2,0.8,6,-12,0.3111
BPI Challenge 2017.xes.gz,IMf,0.863,0.9999,0.8406,0,0,0.0007,0.5051,-0.18,-6,0.6,0.22,1.3143,-14.8547,-14.8547,0.8662,15,-15.5098,0.2721,9,-30.3645,0.2357
BPI Challenge 2017.xes.gz,IMd,0.8612,1,0.8602,0,0,0.004,0.3476,-9.2297,11,1.7333,0.1454,1.2077,-49.7932,-49.7932,2.4395,15,-15.5098,0.2721,26,-65.303,0.6638
BPI Challenge 2017.xes.gz,ETM,0.8318,0.9999,0.8286,0,0,0.0007,0.9231,0.8172,-9,0.4,0.1,1.1429,-26,-26,0.419,15,-15.5098,0.2721,6,-41.5098,0.114
BPI_Challenge_2020_DomesticDeclarations.xes.gz,IMf,0.935,0.9997,0.9363,0,0,0.007,0.5,-0.3875,-1,0.9,0,1,7.6096,7.6096,2.4661,10,-25.1194,0.1536,9,-17.5098,0.3788
BPI_Challenge_2020_DomesticDeclarations.xes.gz,IMd,0.9867,0.9997,0.9742,0,0,0.007,0.3061,-3.3235,1,1.1,-0.1512,0.8488,0.713,0.713,4.8333,10,-25.1194,0.1536,11,-24.4064,0.7424
BPI_Challenge_2020_DomesticDeclarations.xes.gz,ETM,0.9606,0.9996,0.9699,0,0,0.007,0.5556,0.1448,-1,0.9,0,1,16.3645,16.3645,2.1309,10,-25.1194,0.1536,9,-8.7549,0.3273
5a_VARA_CIVEL_-_TJMT.xes,IMf,0.6738,0.8678,0.3798,43.2667,0.0343,0.013,0.5732,-0.3434,-9,0.55,0,1,48.8289,48.8289,3.9923,20,-57.5838,0.1556,11,-8.7549,0.6212
5a_VARA_CIVEL_-_TJMT.xes,IMd,0.6379,0.8669,0.3886,43.2667,0.0343,0.013,0.5974,-0.2777,-12,0.4,-0.3,0.7,41.2193,41.2193,3.7487,20,-57.5838,0.1556,8,-16.3645,0.5833
5a_VARA_CIVEL_-_TJMT.xes,ETM,0.6281,0.8571,0.6007,43.2667,0.0343,0.013,0.9211,0.6034,-14,0.3,0,1,24.3645,24.3645,0.8978,20,-57.5838,0.1556,6,-33.2193,0.1397
VARA_DE_SUCESSOES_E_REGISTROS_PUBLICOS_DA_COMARCA_DE_JABOATAO_DOS_GUARARAPES_-_TJPE.xes,IMf,0.6065,0.973,0.6081,26,0.037,0.0113,0.7059,-0.3383,-11,0.3529,-0.2286,0.7142,32.3645,32.3645,2.763,17,-44.3645,0.1709,6,-12,0.4722
VARA_DE_SUCESSOES_E_REGISTROS_PUBLICOS_DA_COMARCA_DE_JABOATAO_DOS_GUARARAPES_-_TJPE.xes,IMd,0.7127,0.9787,0.6786,26,0.037,0.0036,0.3284,-3.7948,-5,0.7059,0.2,1.25,15.8352,15.8352,5.9403,17,-44.3645,0.1709,12,-28.5293,1.0152
VARA_DE_SUCESSOES_E_REGISTROS_PUBLICOS_DA_COMARCA_DE_JABOATAO_DOS_GUARARAPES_-_TJPE.xes,ETM,0.9093,0.9764,0.9304,26,0.037,0.0113,0.973,0.9792,-12,0.2941,-0.3,0.625,32.3645,32.3645,1.3879,17,-44.3645,0.1709,5,-12,0.2372
