EVENT_LOG	EDIT_DISTANCE	EDIT_DISTANCE_WEIGHTED	EDIT_DISTANCE_WEIGHTED_MODIF	EDIT_DISTANCE_WEIGHTED_FIT	ALIGNMENT_DFG	DIST_NODES_PERCENT	DIST_EDGES_PERCENT	DIST_EDGES_WEIGHTED_FIT	DIST_EDGES_BTW	DIST_EDGES_CC	DIST_EDGES_DEGREE	CLUST_DIFF	CLUST_MAX_DIFF	DEGREE_DIFF	DEGREE_MAX_DIFF	BETWEEN_DIFF	BETWEEN_MAX_DIFF	ASSORT_DIFF	ENTROPY_DIFF	ENTROPY_DIFF_BTW	EXCEEDING_EDGES	EXCEEDING_EDGES_BTW	EXCEEDING_EDGES_CC	EXCEEDING_EDGES_DEGREE	FOURIER_ENTROPY_DIFF	FOURIER_ENTROPY_DIFF_WEIGHTED	CLUST_DIFF_WEIGHTED	BETWEEN_DIFF_WEIGHTED	BETWEEN_DIFF_WEIGHTED_NORM	PN_SILENT_TRANS	PN_TRANS	PN_PLACES	PN_ARCS_MEAN	PN_ARCS_MAX	PN_SIMPLICITY	PN_GENERALIZATION	LOG_BTW_MAX	LOG_BTW_MEDIAN	LOG_BTW_ENTROPY	LOG_CC_MAX	LOG_CC_MEDIAN	LOG_CC_ENTROPY	LOG_DEGREE_MAX	LOG_DEGREE_MEDIAN	LOG_DEGREE_ENTROPY	LOG_LINK_DENSITY	LOG_NODE_DEGREE_RATIO	LOG_FOURIER_ENTROPY	LOG_TRACES	LOG_VARIANTS	LOG_ACTIVITIES	DISCOVERY_ALG
BPI_Challenge_2014_Department control parcels.xes.gz	-1	-1	-1	-1	0.8208348977711029	0.9565217391304348	0.9829059829059829	0.2694685359296443	0.293772	0.276608	0.287808	-0.1261	-0.5	-1.5435	-10	-1	-1		-2.663	-1	0.0	0.0	0.0	0.0	-3.1894	-3.5785	0.026926765924805734	-1	-1	0	1	2	1.0	1	1.0	-1	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	-1.0	-1.0	-1.0	29297	349	6	IMd
BPI_Challenge_2014_Entitlement application.xes.gz	-1	-1	-1	-1	0.0	0.9981684981684982	1.0	1.0000000000000124	1.015166	1.001334	1.006569	-0.0274	-0.5	-1.5523	-9	-1	-1		-3.1521	-1	0.054895048293972695	0.018528	0.018305	0.018529	-6.6708	-6.7941	0.022312907361990996	-1	-1	1	0	2	1.0	1	1.0	-1	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	-1.0	-1.0	-1.0	15260	2553	20	IMd
BPI_Challenge_2014_Control summary.xes.gz	-1	-1	-1	-1	0.9927934936015252	0.7727272727272727	0.8043478260869565	0.016708089336783336	0.018008	0.017452	0.017437	0.201	-0.5	-0.2909	-3	-1	-1	0.0431	-1.1119	-1	0.0	0.0	0.0	0.0	-1.967	-2.0064	-0.2662531044003941	-1	-1	5	4	8	2.25	3	0.8947	-1	0.3333	0.1667	1.0	0.0	0.0	-0.0	38138	22235.0	2.0	0.3333	1.0	1.4945	43808	59	7	IMd
DocumentProcessingENG.xes.gz	-1	-1	-1	-1	0.0	0.9523809523809523	1.0	0.9999999999999998	1.059144	1.0	1.051083	0.0	0.0	-0.1	-1	-1	-1		-0.7219	-1	0.07511152948880612	0.03904	0.037556	0.038003	-1.7277	-1.5006	0.0	-1	-1	1	0	2	1.0	1	1.0	-1	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	-1.0	-1.0	-1.0	18352	3	10	IMd
BPI_Challenge_2012.xes.gz	-1	-1	-1	-1	0.6521907856097853	0.9383886255924171	0.9701269604182226	0.6682228546884352	0.675911	0.669837	0.672946	0.0763	-0.1778	3.331	-8	-1	-1	0.0129	-0.743	-1	1.0698518343081247	0.164798	0.164677	0.164336	-1.105	-0.8074	-0.009078621825289946	-1	-1	12	7	13	3.0769	6	0.6667	-1	0.5	0.0	1.6645	0.1754	0.0213	2.1281	2384	699.0	2.5216	0.3095	0.5385	1.7378	13087	4366	24	IMd
edited_hh104_weekends.xes.gz	-1	-1	-1	-1	1.0	0.9451146983857264	0.9943800094295144	0.0	0.0	0.0	0.0	0.1087	0.6333	16.1752	5873	-1	-1	-0.1993	-1.6967	-1	77.06315789474641	0.825107	0.820906	0.825297	5.571	4.1471	-0.007264712326339239	-1	-1	15	19	13	5.2308	14	0.5281	-1	0.2426	0.0553	3.9977	0.051	0.0182	4.1427	186	34.0	3.6819	0.4211	0.1319	3.1253	18	18	19	IMd
BPI_Challenge_2020_InternationalDeclarations.xes.gz	-1	-1	-1	-1	0.6315880687767367	0.9667405764966741	0.9810267857142857	0.4417521536635085	0.446898	0.442402	0.446046	-0.025	-1.0	-0.8534	-52	-1	-1	-0.2171	-1.7305	-1	0.0	0.0	0.0	0.0	-5.2971	-4.9383	0.038709090966332314	-1	-1	2	12	13	2.1538	3	0.931	-1	0.3545	0.0727	2.7516	0.2432	0.0811	1.7842	983	672.0	1.7842	0.1061	0.8571	2.0142	6449	753	34	IMd
Hospital Billing - Event Log.xes.gz	-1	-1	-1	-1	0.4536861187224049	0.98989898989899	0.9955849889624724	0.5737465387658223	0.585827	0.574484	0.594714	-0.0791	-1.0	-1.2879	-38	-1	-1		-2.7253	-1	0.0	0.0	0.0	0.0	-6.5652	-5.9381	0.017121667518998015	-1	-1	0	5	6	1.6667	2	1.0	-1	0.3	0.2	1.585	0.0	0.0	-0.0	33673	33673.0	0.9183	0.1667	1.2	1.6461	100000	1020	18	IMd
BPI_Challenge_2019_log_IEEE.xes.gz	-1	-1	-1	-1	0.5969951700471339	0.9960583366180528	0.9984604452865941	0.5718573736302908	0.575836	0.572095	0.577914	-0.0505	-1.0	-2.0283	-219	-1	-1	-0.4481	-2.2633	-1	0.0	0.0	0.0	0.0	-8.1582	-7.9584	0.046858184478266854	-1	-1	1	6	8	2.0	3	0.8824	-1	0.4	0.1667	1.8424	0.2924	0.1125	2.1281	48554	48554.0	2.1281	0.2619	0.6364	1.6898	251734	11973	42	IMd
BPI_Challenge_2014_Reference alignment.xes.gz	-1	-1	-1	-1	0.9574176582276734	0.8648648648648649	0.9032258064516129	0.10681814245882615	0.112304	0.109005	0.111278	0.1776	-0.5	-0.7135	-2	-1	-1	-0.1538	-0.8684	-1	0.0	0.0	0.0	0.0	-2.48	-2.6689	-0.15652385152634565	-1	-1	5	3	7	2.2857	3	0.8824	-1	0.5	0.0	0.9183	0.0	0.0	-0.0	38572	7838.0	1.585	0.5	1.0	0.9935	43802	515	6	IMd
BPI_Challenge_2020_PrepaidTravelCost.xes.gz	-1	-1	-1	-1	0.5674956283467528	0.9487179487179487	0.9627450980392157	0.4388961079141132	0.442724	0.439712	0.447142	-0.0254	-1.0	-0.3711	-30	-1	-1	0.0134	-0.5994	-1	0.010457273683559186	0.003553	0.003506	0.003508	-4.2321	-4.1247	0.0339926652284274	-1	-1	1	12	11	2.3636	4	0.8571	-1	0.2727	0.1636	2.6887	0.0	0.0	-0.0	411	411.0	1.614	0.0909	1.0	2.1696	2099	202	29	IMd
Road_Traffic_Fine_Management_Process.xes.gz	-1	-1	-1	-1	0.30837933098357384	0.9883720930232558	0.9942857142857143	0.8059206120672368	0.881853	0.806296	0.843895	-0.118	-1.0	-1.0349	-11	-1	-1		-2.4119	-1	0.0	0.0	0.0	0.0	-5.2973	-5.2926	0.013181933295485962	-1	-1	0	2	3	1.3333	2	1.0	-1	0.3333	0.25	1.5219	0.0	0.0	-0.0	56482	56482.0	0.971	0.2	1.25	1.3486	150370	231	11	IMd
BPI_Challenge_2013_incidents.xes.gz	-1	-1	-1	-1	0.5850121370697642	0.7714285714285715	0.8461538461538461	0.5318756358745322	0.568134	0.555618	0.564151	0.144	0.1667	-0.6961	-11	-1	-1	-0.4288	-0.7301	-1	0.5218913279646842	0.026063	0.025215	0.025691	-1.248	-1.3424	-0.1719054375264601	-1	-1	6	3	7	2.5714	3	0.8	-1	0.5	0.0	0.9183	0.0	0.0	-0.0	5612	876.0	1.585	0.8333	0.6	0.9901	7554	1511	4	IMd
BPI_Challenge_2020_DomesticDeclarations.xes.gz	-1	-1	-1	-1	0.4540803341562952	0.9230769230769231	0.9612403100775194	0.5477602250595112	0.565327	0.550602	0.582126	-0.0788	-0.5	-0.9846	-18	-1	-1		-2.2875	-1	0.0	0.0	0.0	0.0	-3.3029	-3.4258	0.04357290430496233	-1	-1	0	6	7	1.7143	2	1.0	-1	0.3	0.2	1.585	0.0	0.0	-0.0	2473	2473.0	0.9183	0.1667	1.2	1.6461	10500	99	17	IMd
BPI_Challenge_2013_open_problems.xes.gz	-1	-1	-1	-1	0.3957289183479656	0.782608695652174	0.8714285714285714	0.6487603305785127	0.687105	0.668444	0.727115	-0.0487	0.0	-1.2435	-15	-1	-1	-0.0694	-0.7099	-1	0.0	0.0	0.0	0.0	-1.9101	-1.9716	0.02679516088341792	-1	-1	2	2	4	2.0	3	1.0	-1	0.0	0.0	-0.0	0.0	0.0	-0.0	100	50.0	1.0	1.0	1.0	1.0	819	108	3	IMd
VITORIA_-_5a_VARA_CIVEL_-_TJES.xes	-1	-1	-1	-1	0.21755242166781313	0.9503475670307845	0.9668067226890756	0.6878560719640011	0.691493	0.689557	0.690002	0.0584	0.0	-0.755	-36	-1	-1	0.318	-0.6656	-1	0.015442278860569715	0.000386	0.000386	0.000386	-4.9112	-4.0679	-0.36345309453526675	-1	-1	13	66	72	2.1944	3	0.9152	-1	0.3599	0.0106	4.3898	0.0259	0.0067	4.3719	2280	10.5	4.5464	0.1718	0.1493	4.1653	206	206	42	ETM
activitylog_uci_detailed_weekends.xes.gz	-1	-1	-1	-1	0.23088784044582203	0.7361963190184049	0.8461538461538461	0.6987447698744755	0.704238	0.703975	0.705079	0.0146	0.5	-0.364	-3	-1	-1	0.0339	-0.8923	-1	0.12970711297071127	0.049264	0.049441	0.04914	-1.4337	-1.4153	-0.12332301341589268	-1	-1	6	61	66	2.0606	3	0.9568	-1	0.4089	0.0737	3.4566	0.078	0.0457	3.7736	88	20.0	3.6402	0.3714	0.1923	2.5841	10	10	15	ETM
3a_VARA_DE_FAMILIA_E_REGISTRO_CIVIL_DA_COMARCA_DE_OLINDA_-_TJPE.xes	-1	-1	-1	-1	0.8645821772591694	0.7	0.7083333333333334	0.12547851977881747	0.127198	0.135867	0.128512	0.1051	0.0	0.1249	-4	-1	-1	0.2307	-0.2123	-1	0.05019140791152701	0.010224	0.010376	0.010261	-1.5504	-1.7332	-0.23941637915436395	-1	-1	7	13	15	2.6667	4	0.7778	-1	0.4121	0.0712	3.2516	0.0635	0.0192	2.6887	440	183.0	3.4183	0.2576	0.3529	2.5372	232	33	12	ETM
activitylog_uci_detailed_labour.xes.gz	-1	-1	-1	-1	0.24330709882378676	0.7130801687763713	0.8101851851851852	0.5340160936356992	0.537342	0.536688	0.537663	0.0181	0.0	-0.5096	-4	-1	-1	0.0793	-0.8736	-1	0.09875640087783469	0.043257	0.042975	0.043019	-1.2869	-1.5515	-0.19593868257132888	-1	-1	10	94	100	2.24	11	0.8361	-1	0.3056	0.1063	4.0	0.0395	0.0278	4.0	270	51.0	3.875	0.4542	0.1468	2.7288	25	25	16	ETM
4a_VARA_DE_SUCESSOES_E_REGISTROS_PUBLICOS_DA_CAPITAL_-_TJPE.xes	-1	-1	-1	-1	0.3712286858321454	0.7435897435897436	0.8232044198895028	0.4344482891195697	0.437536	0.437457	0.437517	0.0219	0.0	-0.4932	-8	-1	-1	0.16	-0.643	-1	0.06420607458669741	0.012054	0.012056	0.012048	-1.6573	-1.799	0.007551599645734517	-1	-1	17	132	139	2.1439	3	0.9351	-1	0.5977	0.0412	3.7442	0.0237	0.0094	3.9161	611	33.0	4.3923	0.2738	0.1826	3.3178	36	36	21	ETM
ElectronicInvoicingENG.xes.gz	-1	-1	-1	-1	0.8723107758263101	0.32	0.5142857142857142	0.0830786271828865	0.085479	0.086666	0.090009	0.0032	0.0	0.0227	0	-1	-1	0.1264	0.1929	-1	0.06390903269353918	0.021339	0.022727	0.021307	0.1547	-0.4193	-0.13782890034911485	-1	-1	4	17	19	2.2105	3	0.9091	-1	0.3036	0.125	2.9477	0.0	0.0	-0.0	45374	37058.0	2.5033	0.25	0.5	1.7924	20135	7	9	ETM
BPI_Challenge_2014_Inspection.xes.gz	-1	-1	-1	-1	0.5041892957273681	0.8876404494382022	0.9440203562340967	0.3318941301317127	0.335056	0.334733	0.334851	0.0371	0.25	-1.0522	-7	-1	-1	-0.2514	-2.1552	-1	0.005701325454129299	0.002857	0.003023	0.002855	-3.2618	-2.7953	-0.00888078691183188	-1	-1	3	28	30	2.0667	3	0.9683	-1	0.5769	0.0659	2.8729	0.0163	0.0029	3.4566	124193	3632.0	3.9069	0.319	0.2239	2.5799	5485	3190	15	ETM
BPI_Challenge_2014_Geo parcel document.xes.gz	-1	-1	-1	-1	0.5971956436645903	0.9204339963833634	0.946101517530089	0.39057298898453474	0.393062	0.391245	0.392268	0.0441	-0.1667	-0.5902	-8	-1	-1	-0.1119	-0.9252	-1	0.32587984819031757	0.056932	0.056848	0.05681	-3.5946	-3.5675	-0.00021023196401886662	-1	-1	25	8	31	3.2258	11	0.4706	-1	0.3421	0.0897	3.875	0.0177	0.0025	3.5	140472	5657.0	4.0	0.5042	0.1322	2.8819	29059	9274	16	ETM
4a_VARA_CIVEL_-_TJGO.xes	-1	-1	-1	-1	0.7111345226389475	0.8322851153039832	0.9534950895436164	0.2802395209580838	0.288812	0.280812	0.323834	-0.0317	-0.5817	5.8878	357	-1	-1	0.2455	1.0548	-1	155.83592814371124	0.590153	0.57085	0.675707	1.6836	1.781	0.8188193110133932	-1	-1	30	13	32	4.4375	16	0.3589	-1	0.6032	0.077	3.75	0.0978	0.0363	3.3278	202	7.0	3.875	0.2583	0.2581	2.9119	339	98	16	ETM
BPI_Challenge_2014_Department control parcels.xes.gz	-1	-1	-1	-1	0.9825042991852031	0.6274509803921569	0.6293706293706294	0.020565943162659295	0.021043	0.020807	0.021287	0.2198	0.0556	0.7482	5	-1	-1	-0.0401	-0.5431	-1	4.9096556647477865	0.228257	0.226519	0.231692	-0.9566	-0.8977	-0.0389198197818472	-1	-1	6	5	9	2.6667	4	0.7143	-1	0.25	0.05	1.7925	0.0473	0.018	2.2516	8982	1565.0	2.585	0.6333	0.3158	1.9579	29297	349	6	ETM
BPI_Challenge_2014_Entitlement application.xes.gz	-1	-1	-1	-1	0.9006922782431954	0.9240506329113924	0.9587123862841148	0.15921002931812836	0.159915	0.159643	0.159825	0.0152	0.0	-0.6123	-4	-1	-1	0.0143	-0.6575	-1	0.11213914419842796	0.013261	0.013254	0.013256	-3.9204	-3.4541	-0.07816018628649335	-1	-1	44	22	60	3.5333	11	0.4228	-1	0.5283	0.0504	3.7414	0.0102	0.0008	4.2219	79058	725.5	4.3219	0.4	0.1316	3.2111	15260	2553	20	ETM
VARA_DA_FAZENDA_PUBLICA_DA_COMARCA_DE_PAULISTA_-_TJPE.xes	-1	-1	-1	-1	0.43255693632748043	0.8821428571428571	0.9289827255278311	0.5286241920590943	0.532831	0.531271	0.532492	-0.016	0.0	-0.5167	-10	-1	-1	0.2536	-0.8113	-1	0.06532779316712835	0.007306	0.007296	0.0073	-2.475	-2.6176	0.17396887895427465	-1	-1	11	60	65	2.4308	11	0.7556	-1	0.7407	0.0032	3.1966	0.0388	0.0064	2.856	1109	50.0	4.1558	0.1441	0.2479	3.7358	116	112	29	ETM
BPI_Challenge_2014_Control summary.xes.gz	-1	-1	-1	-1	0.9928068092820707	0.7333333333333333	0.8028169014084507	0.015473920740841614	0.017909	0.016194	0.01639	0.1441	-0.5	0.3466	-1	-1	-1	-0.1833	-0.5466	-1	0.8420689772572518	0.268426	0.264873	0.277402	-0.2606	-0.468	-0.2101739535591247	-1	-1	10	6	13	3.6923	11	0.4328	-1	0.2667	0.1667	2.1281	0.0091	0.0007	1.8424	43808	12002.0	2.8074	0.2857	0.5833	1.943	43808	59	7	ETM
DocumentProcessingENG.xes.gz	-1	-1	-1	-1	0.7546929489972268	0.37037037037037035	0.5142857142857142	0.09294396922195391	0.096867	0.092944	0.105376	0.0347	0.5	0.15	0	-1	-1	-0.0927	0.5769	-1	0.11115294888061229	0.056757	0.055576	0.057892	-0.2569	0.0878	-0.07396408505279474	-1	-1	4	18	20	2.2	3	0.913	-1	0.1944	0.125	2.7219	0.0	0.0	-0.0	36704	27158.0	2.1219	0.2111	0.5263	2.0742	18352	3	10	ETM
BPI_Challenge_2012.xes.gz	-1	-1	-1	-1	0.0	0.9970149253731343	1.0	1.0000000000000004	1.012371	1.003504	1.010094	-0.031	-0.5	-0.8788	-12	-1	-1	-0.1212	-1.6181	-1	0.05253439202289724	0.010522	0.010508	0.010635	-4.0022	-3.3197	0.044637029110955954	-1	-1	0	34	33	2.0606	3	0.971	-1	0.5494	0.0415	3.0027	0.0485	0.0061	4.1683	52911	5064.0	4.3035	0.2264	0.192	3.0731	13087	4366	24	ETM
1a_VARA_DE_FEITOS_TRIBUTARIOS_DO_ESTADO_-_TJMG.xes	-1	-1	-1	-1	0.2927252998297753	0.8702928870292888	0.9052757793764988	0.6086601307189525	0.611095	0.610358	0.611113	-0.0104	-0.3333	-0.4114	-10	-1	-1	0.032	-0.6885	-1	0.016339869281045753	0.004607	0.004597	0.004599	-2.9364	-2.8915	0.10308551974983182	-1	-1	10	111	122	2.1311	11	0.8773	-1	0.3477	0.0385	4.5821	0.0416	0.0122	4.2542	490	8.0	3.9783	0.1798	0.1986	3.667	28	28	32	ETM
edited_hh104_weekends.xes.gz	-1	-1	-1	-1	0.25986854023408085	0.7886904761904762	0.8739903069466882	0.5824561403508776	0.584568	0.58513	0.585089	0.0059	0.3333	-0.6428	-5	-1	-1	-0.0176	-1.4594	-1	0.13450292397660818	0.043697	0.047688	0.043715	-1.2407	-1.9155	-0.015336887551497409	-1	-1	2	126	124	2.0645	3	0.9692	-1	0.2161	0.0341	3.8269	0.0276	0.0144	4.1427	382	64.0	4.1427	0.5234	0.1061	3.1256	18	18	19	ETM
1a_VARA_CRIMINAL_DA_CAPITAL_-_TJAM.xes	-1	-1	-1	-1	0.20178608079787458	0.9432432432432433	0.9647661755285074	0.7137240217187871	0.71867	0.715037	0.717028	-0.0233	-0.5	-0.7459	-61	-1	-1	0.0662	-1.0276	-1	0.007489234225800412	0.001821	0.001813	0.001813	-4.3793	-4.1931	0.06374585885970759	-1	-1	10	54	59	2.4407	11	0.7455	-1	0.2382	0.0265	4.6782	0.0191	0.0037	4.0688	2574	16.0	4.6255	0.1757	0.1538	4.205	131	128	38	ETM
BPI_Challenge_2020_InternationalDeclarations.xes.gz	-1	-1	-1	-1	0.48346662330346263	0.8839458413926499	0.9320652173913043	0.5463608413746889	0.550202	0.54689	0.55277	-0.025	-1.0	0.2593	-44	-1	-1	-0.0544	-0.2759	-1	1.1202855316428717	0.080407	0.080264	0.08037	-2.5514	-1.9603	0.038709090966332314	-1	-1	24	25	39	3.7436	11	0.4314	-1	0.4438	0.0414	4.5095	0.0222	0.0042	4.83	8099	537.5	5.0875	0.1747	0.1735	3.6021	6449	753	34	ETM
3a_VARA_DE_FEITOS_TRIBUTARIOS_DO_ESTADO_-_TJMG.xes	-1	-1	-1	-1	0.20209962607169074	0.8877374784110535	0.9235412474849095	0.7227498869289889	0.725647	0.724646	0.72538	0.0123	0.0	-0.4268	-11	-1	-1	-0.0338	-0.6884	-1	0.0673903211216644	0.011198	0.011163	0.011157	-2.6476	-2.8975	0.06537720274698562	-1	-1	5	106	106	2.0943	3	0.9559	-1	0.3878	0.033	4.3232	0.0359	0.0152	4.2542	383	16.0	4.2802	0.2143	0.1667	3.591	35	35	30	ETM
VARA_DE_SUCESSOES_DE_CAMPINA_GRANDE_-_TJPB.xes	-1	-1	-1	-1	0.1776215396701025	0.8634146341463415	0.9034090909090909	0.7265013054830294	0.730337	0.729064	0.730123	0.0006	0.0	-0.3711	-15	-1	-1	0.1801	-0.5353	-1	0.03981723237597911	0.008629	0.008596	0.008599	-3.1194	-2.7667	0.20127314699516063	-1	-1	12	77	88	2.2273	11	0.8233	-1	0.2681	0.061	4.5639	0.0288	0.0172	4.1639	395	26.0	4.0195	0.2783	0.1497	3.4075	25	25	25	ETM
Hospital Billing - Event Log.xes.gz	-1	-1	-1	-1	0.888737696366789	0.8926282051282052	0.9522108083966057	0.12068334651898635	0.121669	0.121036	0.121524	-0.0119	-0.7244	2.5935	93	-1	-1	0.0507	0.512	-1	32.15262312104438	0.296159	0.294965	0.29768	-0.55	-0.4228	-0.008643864904961503	-1	-1	26	10	27	4.1481	16	0.3913	-1	0.5037	0.0928	3.8366	0.0085	0.0013	4.1699	78882	2492.0	4.1699	0.4673	0.1259	3.0597	100000	1020	18	ETM
BPI_Challenge_2019_log_IEEE.xes.gz	-1	-1	-1	-1	0.5690073264093854	0.9948798739661284	0.9982246419694638	0.6135113571578983	0.618945	0.613755	0.619577	-0.0505	-1.0	-1.995	-218	-1	-1	-0.3123	-2.3999	-1	0.025253133556556583	0.001422	0.001422	0.001422	-7.6639	-7.458	0.046858184478266854	-1	-1	2	7	10	2.0	3	0.9048	-1	0.3355	0.0396	4.9934	0.0078	0.0005	5.2495	291321	1628.0	5.1542	0.2892	0.0843	4.1452	251734	11973	42	ETM
BPI_Challenge_2014_Reference alignment.xes.gz	-1	-1	-1	-1	0.9769265864976914	0.7931034482758621	0.845679012345679	0.02768300919591986	0.029822	0.028025	0.029045	-0.0366	-0.7	0.335	5	-1	-1	-0.0928	-0.7124	-1	2.988171726443032	0.308126	0.298423	0.309267	0.0559	-0.2051	-0.015219705737635526	-1	-1	17	6	20	3.9	11	0.3805	-1	0.4	0.25	1.9183	0.0137	0.0048	2.2516	43802	8433.0	2.585	0.5	0.4	1.9738	43802	515	6	ETM
BPI_Challenge_2020_PermitLog.xes.gz	-1	-1	-1	-1	0.31648399178269354	0.9640795381654907	0.9791734461438334	0.6832838673977624	0.68704	0.684231	0.686363	-0.0026	0.0	0.0221	-38	-1	-1	0.259	0.0894	-1	0.20052568036621563	0.032056	0.031961	0.031947	-4.6228	-4.0916	0.021621220471011025	-1	-1	28	22	44	3.4091	11	0.4563	-1	0.1869	0.0264	5.0738	0.0092	0.0016	5.4763	7574	221.0	5.5548	0.2169	0.0922	4.101	7065	1478	51	ETM
BPI_Challenge_2020_PrepaidTravelCost.xes.gz	-1	-1	-1	-1	0.7670391776343816	0.9188405797101449	0.9357638888888888	0.24280675700761023	0.244875	0.243224	0.246357	-0.0254	-1.0	0.0532	-16	-1	-1	-0.1188	0.1688	-1	1.7011323556710602	0.103138	0.102479	0.103045	-2.5518	-2.3695	0.0339926652284274	-1	-1	16	16	26	3.6923	11	0.4328	-1	0.3958	0.0533	3.8742	0.0118	0.0039	4.5561	2279	158.0	4.72	0.2007	0.1779	3.4342	2099	202	29	ETM
COLOMBO_-_VARA_DA_FAZENDA_PUBLICA_-_TJPR.xes	-1	-1	-1	-1	0.5688418961797509	0.8803680981595092	0.9176954732510288	0.4321285140562249	0.436173	0.435219	0.435317	0.0614	0.0	-0.33	-8	-1	-1	0.1332	-0.3982	-1	0.11332603139832056	0.025751	0.02576	0.025656	-2.4096	-2.9537	-0.18508565861806725	-1	-1	20	28	43	2.6512	11	0.6642	-1	0.43	0.0458	3.6691	0.0192	0.0063	4.0188	3997	154.0	4.3168	0.2411	0.1885	3.4201	513	395	23	ETM
Road_Traffic_Fine_Management_Process.xes.gz	-1	-1	-1	-1	0.4921340646246587	0.8924731182795699	0.9221411192214112	0.3687952019018295	0.378522	0.369344	0.387539	0.0858	-0.5	0.7004	-9	-1	-1	-0.0493	-0.2368	-1	0.36428547512221265	0.033372	0.03327	0.033489	-2.4986	-2.4073	-0.04337111896989551	-1	-1	6	8	10	2.8	4	0.75	-1	0.3	0.0667	2.5503	0.0333	0.0045	3.0958	150370	4188.0	3.2776	0.6364	0.1571	2.3445	150370	231	11	ETM
2A._VARA_DE_EXECUTIVO_FISCAL_JOAO_PESSOA_-_TJPB.xes	-1	-1	-1	-1	0.17462310651082383	0.9457755359394704	0.9736691471093303	0.7926021347073896	0.797027	0.793561	0.796223	-0.0245	-0.5	-0.9424	-72	-1	-1	0.0753	-1.3549	-1	0.012513801987486202	0.003442	0.003433	0.003434	-4.8695	-4.1537	0.299589927477757	-1	-1	8	51	53	2.5283	11	0.7179	-1	0.3861	0.0543	4.2534	0.0505	0.0189	3.8788	929	72.5	4.3213	0.2923	0.1267	3.471	229	227	28	ETM
JUIZO_DA_1a_ESCRIVANIA_CRIMINAL_DE_ARAPOEMA_-_TJTO.xes	-1	-1	-1	-1	0.16947804374840592	0.94896331738437	0.9679752066115702	0.8839972047519358	0.886664	0.885877	0.886777	-0.0069	-0.5	-0.3576	-15	-1	-1	0.2866	-0.7586	-1	0.023759608665269043	0.006867	0.006823	0.006823	-4.1841	-4.0695	0.21536747192296427	-1	-1	11	30	38	2.5789	11	0.6752	-1	0.2809	0.0119	4.8145	0.0463	0.0182	4.3713	161	13.0	4.1562	0.1768	0.1489	3.8181	43	41	39	ETM
BPI_Challenge_2013_incidents.xes.gz	-1	-1	-1	-1	0.0	0.9885057471264368	1.0	1.0000000000000004	1.063985	1.048051	1.053696	0.0287	0.0	-0.0224	26	-1	-1	-0.0358	-0.4604	-1	5.601248469590104	0.104572	0.093862	0.100536	1.0491	0.857	0.19876979219561083	-1	-1	14	10	17	3.7647	11	0.4713	-1	0.8333	0.3333	1.5	0.0547	0.0276	1.0	40109	8932.5	2.0	0.9167	0.3636	1.5554	7554	1511	4	ETM
5a_VARA_CIVEL_-_TJMT.xes	-1	-1	-1	-1	0.10230729159748257	0.8934240362811792	0.912981455064194	0.775491113189901	0.779928	0.777545	0.779063	0.0262	0.0	0.0774	-14	-1	-1	0.3171	0.3493	-1	0.1739943872778297	0.033047	0.033042	0.033003	-3.1838	-3.0603	0.020568311882088956	-1	-1	15	60	66	2.5152	11	0.7382	-1	0.4127	0.0183	4.257	0.0456	0.0191	4.4004	245	11.0	4.064	0.1563	0.1882	3.8768	29	29	35	ETM
BPI Challenge 2017.xes.gz	-1	-1	-1	-1	0.6675223791875717	0.9143897996357013	0.9476228847703465	0.4411979247632758	0.443325	0.442498	0.442993	0.0542	0.0	-0.3957	-10	-1	-1	0.0859	-0.5388	-1	0.15605359946291208	0.028552	0.028499	0.028488	-3.2955	-3.3804	-0.18659038891598947	-1	-1	27	29	51	2.6275	11	0.6646	-1	0.5217	0.0392	3.7138	0.0322	0.0031	4.6235	196834	27333.0	4.4697	0.2738	0.1461	3.2185	31509	15930	26	ETM
BPI_Challenge_2020_DomesticDeclarations.xes.gz	-1	-1	-1	-1	0.9076599455633079	0.8433734939759037	0.9357638888888888	0.08785977061242155	0.09265	0.08866	0.09035	-0.0601	-0.3333	1.8264	31	-1	-1	0.1713	1.0299	-1	10.060549664574767	0.256702	0.238068	0.244538	0.6394	0.9173	-0.004314746985205358	-1	-1	27	12	32	3.9375	11	0.3923	-1	0.8583	0.0542	3.2869	0.0612	0.0051	3.3816	11531	289.0	3.8078	0.1434	0.4359	2.9261	10500	99	17	ETM
Sepsis Cases - Event Log.xes.gz	-1	-1	-1	-1	0.36739755568394256	0.7833333333333333	0.8691588785046729	0.5228748940977155	0.525781	0.523885	0.526285	-0.017	-0.5	-0.3605	-18	-1	-1	0.0073	-0.5446	-1	0.6828579497317144	0.045843	0.045696	0.045869	-2.5185	-2.0234	-0.020223469477185813	-1	-1	62	24	77	3.7143	11	0.3985	-1	0.3849	0.1377	3.5778	0.0334	0.0238	3.5778	3339	738.5	4.0	0.4792	0.1391	2.9654	1050	846	16	ETM
